Date|Open|High|Low|Close|Adj Close|Volume|Stock Return
2018-06-06| 108.66 | 110.74 | 108.48 | 110.36 | 106.546783 | 15,453,600 | 0.023099 
2018-06-07| 111.18 | 111.50 | 110.03 | 110.80 | 106.971581 | 13,444,400 | 0.003979 
2018-06-08| 110.62 | 111.14 | 110.06 | 111.11 | 107.270874 | 10,383,200 | 0.002794 
2018-06-11| 111.12 | 111.91 | 110.77 | 110.83 | 107.000542 | 12,642,900 | (0.002523)
2018-06-12| 111.14 | 111.53 | 109.52 | 110.19 | 106.382668 | 15,294,100 | (0.005791)
2018-06-13| 110.46 | 111.45 | 109.58 | 109.97 | 106.170265 | 14,979,700 | (0.001999)
2018-06-14| 110.28 | 110.36 | 107.78 | 108.03 | 104.297295 | 20,487,300 | (0.017799)
2018-06-15| 107.80 | 108.38 | 106.27 | 107.90 | 104.171783 | 26,028,600 | (0.001204)
2018-06-18| 107.26 | 108.40 | 106.69 | 108.18 | 104.442101 | 9,786,800 | 0.002592 
2018-06-19| 106.90 | 107.88 | 106.60 | 107.55 | 103.833885 | 12,707,200 | (0.005840)
2018-06-20| 108.18 | 108.64 | 107.44 | 107.54 | 103.824226 | 8,876,900 | (0.000093)
2018-06-21| 107.10 | 108.21 | 106.53 | 107.51 | 103.795265 | 11,048,700 | (0.000279)
2018-06-22| 108.16 | 108.37 | 105.51 | 105.75 | 102.096069 | 19,478,900 | (0.016506)
2018-06-25| 105.66 | 105.70 | 103.96 | 104.79 | 101.169243 | 16,907,600 | (0.009119)
2018-06-26| 104.71 | 105.21 | 103.11 | 104.86 | 101.236824 | 17,086,800 | 0.000668 
2018-06-27| 104.68 | 105.92 | 103.23 | 103.24 | 99.672798 | 16,276,800 | (0.015570)
2018-06-28| 103.68 | 105.46 | 103.51 | 104.93 | 101.304405 | 14,491,300 | 0.016237 
2018-06-29| 106.68 | 106.90 | 104.15 | 104.20 | 100.599617 | 18,972,400 | (0.006981)
2018-07-02| 103.72 | 105.09 | 103.38 | 105.08 | 101.449226 | 11,130,000 | 0.008410 
2018-07-03| 105.41 | 105.78 | 103.52 | 103.61 | 100.030022 | 8,311,700 | (0.014088)
